Year,Avg Price,Min Price,Max Price,Avg Volume,Min Volume,Max Volume
1980,0.13618211562816912,0.11272300034761429,0.16127200424671173,103450092.3076923,35750400.0,469033600.0
1981,0.10890623687107573,0.06361600011587143,0.15513400733470917,32398988.14229249,0.0,231302400.0
1982,0.08564746207576024,0.04910700023174286,0.155691996216774,84446671.93675889,13596800.0,357078400.0
1983,0.16726738151177586,0.07700899988412857,0.282366007566452,175940755.73122528,1388800.0,2832345600.0
1984,0.11996776679817867,0.0976559966802597,0.15345999598503113,165925033.99209487,27686400.0,626796800.0
1985,0.0909797599361766,0.06473200023174286,0.13895100355148315,180524888.8888889,21504000.0,733980800.0
1986,0.14462722145874982,0.09709800034761429,0.1958709955215454,210763724.90118578,50176000.0,904131200.0
1987,0.34781288594125287,0.1791290044784546,0.533482015132904,236250232.4110672,56638400.0,777280000.0
1988,0.3708776309202782,0.3169640004634857,0.4263390004634857,163213350.19762847,29937600.0,680960000.0
1989,0.37178024827014833,0.2901790142059326,0.4497770071029663,202007244.44444445,27854400.0,2127171200.0
1990,0.334984645895336,0.21651799976825714,0.4263390004634857,175501742.29249012,44273600.0,933732800.0
1991,0.46844785074471484,0.359375,0.654017984867096,226670558.1027668,17987200.0,1868372800.0
1992,0.4891380848377708,0.3705359995365143,0.625,161960289.76377952,2396800.0,848355200.0
1993,0.3663515593164523,0.19642899930477142,0.5825889706611633,223134102.7667984,39592000.0,2120596800.0
1994,0.3041275255086403,0.21986599266529083,0.390625,226809111.1111111,62272000.0,980134400.0
1995,0.3623902465379427,0.282366007566452,0.44754499197006226,294708488.8888889,39390400.0,1211963200.0
1996,0.22288368539664688,0.14285700023174286,0.3169640004634857,209426066.14173228,42291200.0,1026625600.0
1997,0.16066578478210058,0.11383900046348572,0.26395100355148315,284440158.1027668,41316800.0,4190480000.0
1998,0.2725116075977447,0.12053599953651428,0.390625,457119822.2222222,111115200.0,2561350400.0
1999,0.5151824023988512,0.2857140004634857,1.0535709857940674,544058355.5555556,123681600.0,3357558400.0
2000,0.818192189204551,0.24330399930477142,1.3426339626312256,477387288.8888889,70828800.0,7421640800.0
2001,0.36061349949769433,0.2578130066394806,0.48428601026535034,381684664.516129,50629600.0,1873670400.0
2002,0.3414136998887573,0.23857100307941437,0.4673210084438324,305610822.2222222,39340000.0,1709467200.0
2003,0.33080784799087615,0.22714300453662872,0.44660699367523193,282659733.3333333,76098400.0,1555708000.0
2004,0.6335186206750454,0.3782140016555786,1.2423210144042969,483339955.5555556,141635200.0,2768427200.0
2005,1.6654404191270706,1.1178569793701172,2.694999933242798,723813422.2222222,176383200.0,3164716800.0
2006,2.5312407710162765,1.791429042816162,3.3271429538726807,859358430.2788844,194770800.0,2663768800.0
2007,4.5759818055240284,2.924999952316284,7.248570919036865,984047751.3944223,352466800.0,3349298400.0
2008,5.070863950865071,2.8264288902282715,7.1521430015563965,1130360498.0237155,271334000.0,3372969600.0
2009,5.240367034598003,2.7928569316864014,7.64107084274292,568467011.1111112,286454000.0,1831634000.0
2010,9.271721948706915,6.794642925262451,11.666428565979004,599305266.6666666,157494400.0,1867110000.0
2011,12.995022696162026,11.089285850524902,15.239286422729492,492298966.6666667,179662000.0,1880998000.0
2012,20.566902839660646,14.60714340209961,25.18107032775879,527856817.6,175753200.0,1506120000.0
2013,16.890822013219196,13.753570556640625,20.540714263916016,406434800.0,167554800.0,1460852400.0
2014,23.06102536595057,17.626785278320312,29.9375,252610922.2222222,57918400.0,1065523200.0
2015,30.013452401236883,23.0,33.6349983215332,207397617.46031746,52185600.0,648825200.0
2016,26.139682538925655,22.36750030517578,29.672500610351562,153690123.80952382,45903600.0,533478800.0
2017,37.61171320805037,28.690000534057617,44.29999923706055,108538270.91633466,56106800.0,447940000.0
2018,47.272201218928,36.647499084472656,58.36750030517578,136080258.16733068,50055600.0,384986800.0
2019,52.01291670874944,35.5,73.49250030517578,112122788.8888889,45448000.0,365248800.0
2020,95.28728249892887,53.15250015258789,138.7899932861328,157564646.64031622,46691300.0,426510000.0
2021,140.91095247722808,116.20999908447266,182.1300048828125,90517011.90476191,41000000.0,195432700.0
2022,169.9273681640625,154.6999969482422,182.94000244140625,104581105.26315789,74805200.0,179485800.0
